model,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
challenger,2008,-,-,-,-,2,80,464,122,228,246,284,205
challenger,2009,159,177,323,503,365,186,181,109,182,243,110,122
challenger,2010,124,198,430,614,371,285,299,196,265,121,123,71
challenger,2011,71,150,289,404,397,285,325,102,89,81,92,65
challenger,2012,67,84,337,189,173,165,162,89,80,42,56,41
challenger,2013,82,71,239,196,230,210,180,105,82,36,51,32
challenger,2014,53,42,292,171,204,131,184,91,163,90,110,92
challenger,2015,121,123,301,488,566,326,184,188,82,119,88,83
challenger,2016,84,159,282,469,665,374,308,225,200,120,139,135
challenger,2017,236,167,575,525,322,444,259,200,166,359,68,101
challenger,2018,95,140,169,446,407,307,175,108,119,110,103,95
challenger,2019,270,183,198,167,307,238,212,243,141,166,141,75
charger,2005,-,-,-,-,178,422,395,313,385,471,419,336
charger,2006,457,387,521,555,514,471,722,911,847,768,525,762
charger,2007,564,551,445,1301,1316,936,517,299,420,684,387,438
charger,2008,452,455,630,800,1358,1087,209,279,370,325,407,303
charger,2009,175,551,765,325,206,115,290,463,729,868,163,211
charger,2010,208,447,609,703,588,447,560,302,302,129,156,211
charger,2011,161,111,351,671,547,294,913,126,323,271,224,145
charger,2012,670,416,436,309,429,337,286,219,361,136,132,327
charger,2013,395,285,505,457,644,409,298,454,524,159,223,235
charger,2014,248,495,1020,231,363,225,115,116,340,221,172,158
charger,2015,213,484,694,783,801,377,165,139,221,297,109,235
charger,2016,205,215,644,666,371,298,342,132,159,186,317,212
charger,2017,199,286,426,613,1561,658,114,121,120,144,126,494
charger,2018,56,612,610,799,798,567,88,202,626,351,146,63
charger,2019,48,872,1021,156,403,455,460,528,88,291,248,45
durango,2005,430,845,485,342,359,387,217,125,249,214,530,127
durango,2006,365,368,358,420,405,444,272,193,203,270,272,266
durango,2007,169,137,103,110,102,169,96,82,111,208,255,92
durango,2008,91,101,121,105,160,59,29,33,125,96,136,59
durango,2009,27,18,14,7,8,8,12,0,1,2,0,0
durango,2010,2,0,0,0,0,0,0,0,0,0,0,4
durango,2011,24,92,170,259,359,260,260,243,201,214,183,284
durango,2012,473,186,193,181,207,211,332,79,127,141,131,137
durango,2013,138,141,123,231,344,113,149,81,142,231,183,169
durango,2014,288,220,307,378,325,398,210,105,117,158,236,235
durango,2015,177,126,293,579,532,226,463,404,146,172,336,205
durango,2016,300,269,1084,805,578,674,436,501,395,230,551,352
durango,2017,523,532,844,358,776,907,277,742,429,208,429,480
durango,2018,403,500,816,543,917,1055,230,283,1121,444,348,291
durango,2019,700,958,957,1754,531,677,869,996,640,687,584,267
grand_carvan,2012,3534,3986,4531,4906,5006,6103,5222,5490,3558,3351,3350,2515
grand_carvan,2013,2772,3172,4111,4250,5168,4268,5286,4006,3664,3476,3756,2803
grand_carvan,2014,3030,3930,4170,4724,5987,4714,5809,5178,3678,3798,3601,3140
grand_carvan,2015,3716,3199,3342,3618,3285,4323,4700,4601,3978,4001,4002,4162
grand_carvan,2016,2678,2493,3665,6368,6169,6165,4964,4044,3942,3572,3809,3480
grand_carvan,2017,2507,3260,5459,5013,5189,4966,3818,2684,3875,3176,3703,3283
grand_carvan,2018,3444,2577,2992,5940,3277,2403,1560,2740,2533,1783,1343,1661
grand_carvan,2019,1947,2889,3370,2586,2407,2744,2484,2848,1541,1986,1689,1491
journey,2008,-,17,651,945,1581,1978,1100,1123,1062,1050,1326,984
journey,2009,781,949,1349,1102,1223,1145,1553,947,945,1922,1648,1826
journey,2010,1337,1449,2239,2001,1903,1595,2268,2141,2327,2512,2146,1867
journey,2011,1764,2365,3487,3507,2812,2134,3123,2158,1936,1973,1845,1917
journey,2012,1951,2028,2486,2549,3002,2580,3148,2404,2873,2198,2091,1578
journey,2013,1996,1906,2646,2571,2267,2714,3161,2551,2480,2525,1705,1223
journey,2014,1950,1502,2060,2611,2337,2072,2573,2008,2403,2068,1583,1548
journey,2015,1200,1582,1942,2474,2630,2031,2349,3020,1928,2030,2203,2257
journey,2016,1119,950,1430,1314,1408,1759,1586,1852,1199,1356,1465,1303
journey,2017,1388,1098,2027,1738,763,820,1096,597,813,1440,999,966
journey,2018,353,361,673,418,642,997,975,277,317,274,284,206
journey,2019,217,272,271,325,403,169,258,296,92,177,151,73
