model,year,q1,q2,q3,q4
challenger,2008,-,82,814,735
challenger,2009,659,1054,472,475
challenger,2010,752,1270,760,315
challenger,2011,510,1086,516,238
challenger,2012,488,527,331,139
challenger,2013,392,636,367,119
challenger,2014,387,506,438,292
challenger,2015,545,1380,454,290
challenger,2016,525,1508,733,394
challenger,2017,978,1291,625,528
challenger,2018,404,1160,402,308
challenger,2019,651,712,596,382
challenger,2020,283,343,475,267
challenger,2021,417,634,275,237
charger,2005,-,600,1093,1226
charger,2006,1365,1540,2480,2055
charger,2007,1560,3553,1236,1509
charger,2008,1537,3245,858,1035
charger,2009,1491,646,1482,1242
charger,2010,1264,1738,1164,496
charger,2011,623,1512,1362,640
charger,2012,1522,1075,866,595
charger,2013,1185,1510,1276,617
charger,2014,1763,819,571,551
charger,2015,1391,1961,525,641
charger,2016,1064,1335,633,715
charger,2017,911,2832,355,764
charger,2018,1278,2164,916,560
charger,2019,1941,1014,1076,584
charger,2020,499,132,192,836
charger,2021,633,662,231,398
durango,2005,1760,1088,591,871
durango,2006,1091,1269,668,808
durango,2007,409,381,289,555
durango,2008,313,324,187,291
durango,2009,59,23,13,2
durango,2010,2,0,0,4
durango,2011,286,878,704,681
durango,2012,852,599,538,409
durango,2013,402,688,372,583
durango,2014,815,1101,432,629
durango,2015,596,1337,1013,713
durango,2016,1653,2057,1332,1133
durango,2017,1899,2041,1448,1117
durango,2018,1719,2515,1634,1083
durango,2019,2615,2962,2505,1538
durango,2020,2015,360,808,2485
durango,2021,1943,1229,958,1634
grand_carvan,2012,12051,16015,14270,9216
grand_carvan,2013,10055,13686,12956,10035
grand_carvan,2014,11130,15425,14665,10539
grand_carvan,2015,10257,11226,13279,12165
grand_carvan,2016,8836,18702,12950,10861
grand_carvan,2017,11226,15168,10377,10162
grand_carvan,2018,9013,11620,6833,4787
grand_carvan,2019,8206,7737,6873,5166
grand_carvan,2020,8408,3900,6067,4508
grand_carvan,2021,3396,2347,-,-
journey,2008,668,4504,3285,3360
journey,2009,3079,3470,3445,5396
journey,2010,5025,5499,6736,6525
journey,2011,7616,8453,7217,5735
journey,2012,6465,8131,8425,5867
journey,2013,6548,7552,8192,5453
journey,2014,5512,7020,6984,5199
journey,2015,4724,7135,7297,6490
journey,2016,3499,4481,4637,4124
journey,2017,4513,3321,2506,3405
journey,2018,1387,2057,1569,764
journey,2019,760,897,646,401
journey,2020,102,115,117,86
journey,2021,58,22,14,-
