Year,Sales,model
2021,1563,challenger
2020,1368,challenger
2019,2341,challenger
2018,2274,challenger
2017,3422,challenger
2016,3160,challenger
2015,2669,challenger
2014,1623,challenger
2013,1514,challenger
2012,1485,challenger
2011,2350,challenger
2010,3097,challenger
2009,2660,challenger
2008,1631,challenger
2021,1924,charger
2020,1659,charger
2019,4615,charger
2018,4918,charger
2017,4862,charger
2016,3747,charger
2015,4518,charger
2014,3704,charger
2013,4588,charger
2012,4058,charger
2011,4137,charger
2010,4662,charger
2009,4861,charger
2008,6675,charger
2007,7858,charger
2006,7440,charger
2005,2919,charger
2021,5764,durango
2020,5668,durango
2019,9620,durango
2018,6951,durango
2017,6505,durango
2016,6175,durango
2015,3659,durango
2014,2977,durango
2013,2045,durango
2012,2398,durango
2011,2549,durango
2010,6,durango
2009,97,durango
2008,1115,durango
2007,1634,durango
2006,3836,durango
2005,4310,durango
2021,5743,grand_carvan
2020,22883,grand_carvan
2019,27982,grand_carvan
2018,32253,grand_carvan
2017,46933,grand_carvan
2016,51349,grand_carvan
2015,46927,grand_carvan
2014,51759,grand_carvan
2013,46732,grand_carvan
2012,51552,grand_carvan
2021,94,journey
2020,420,journey
2019,2704,journey
2018,5777,journey
2017,13745,journey
2016,16741,journey
2015,25646,journey
2014,24715,journey
2013,27745,journey
2012,28888,journey
2011,29021,journey
2010,23785,journey
2009,15390,journey
2008,11817,journey
